TransLvl,NameStr,MonType,AI,Level,lUndead,hUndead,demon,flying,Skill1,Sk1mode,Sk1lvl,Skill2,Sk2mode,Sk2lvl,Skill3,Sk3mode,Sk3lvl,Skill4,Sk4mode,Sk4lvl,Skill5,Sk5mode,Sk5lvl,Skill6,Sk6mode,Sk6lvl,Skill7,Sk7mode,Sk7lvl,Skill8,Sk8mode,Sk8lvl,ResDm,ResMa,ResFi,ResLi,ResCo,ResPo,ToBlock,minHP,maxHP,AC,Exp,A1MinD,A1MaxD,A1TH,TreasureClass1,TreasureClass2,TreasureClass3
1,SandFisher,arach,Arach,15,,,,,SpiderLay,A2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,151,191,84,113,91,151,94,Act 2 H2H A,Act 2 Champ A,Act 2 Unique A
2,PoisonSpinner,arach,Arach,21,,,,,SpiderLay,A2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,151,191,85,113,86,143,94,Act 3 H2H A,Act 3 Champ A,Act 3 Unique A
3,FlameSpider,arach,Arach,22,,,,,SpiderLay,A2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,151,192,85,113,93,151,94,Act 3 H2H A,Act 3 Champ A,Act 3 Unique A
4,SpiderMagus,arach,Arach,23,,,,,SpiderLay,A2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,151,190,85,114,94,147,92,Act 3 H2H B,Act 3 Champ B,Act 3 Unique B
0,ThornedHulk,thornhulk,ThornHulk,21,,,,,MonFrenzy,A2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,153,248,85,123,86,143,94,Act 3 H2H A,Act 3 Champ A,Act 3 Unique A
1,BrambleHulk,thornhulk,ThornHulk,22,,,,,MonFrenzy,A2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,153,248,85,123,93,151,94,Act 3 H2H A,Act 3 Champ A,Act 3 Unique A
2,Thrasher,thornhulk,ThornHulk,23,,,,,MonFrenzy,A2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,153,248,85,123,87,147,92,Act 3 H2H B,Act 3 Champ B,Act 3 Unique B
3,Spikefist,thornhulk,ThornHulk,27,,,,,MonFrenzy,A2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,152,247,84,133,89,148,93,Act 4 H2H A,Act 4 Champ A,Act 4 Unique A
0,GhoulLord,vampire,Vampire,19,,1,,,VampireFireball,SC,2,VampireFirewall,SC,2,VampireMeteor,SC,2,VampireMissile,SC,2,,,,,,,,,,,,,30,,,,50,,19,153,211,84,110,47,116,93,Act 2 Cast C,Act 2 Champ C,Act 2 Unique C
1,NightLord,vampire,Vampire,23,,1,,,VampireFireball,SC,3,VampireFirewall,SC,3,VampireMeteor,SC,3,VampireMissile,SC,3,,,,,,,,,,,,,40,,,,50,,23,153,209,85,110,54,121,92,Act 3 Cast B,Act 3 Champ B,Act 3 Unique B
2,DarkLord,vampire,Vampire,24,,1,,,VampireFireball,SC,4,VampireFirewall,SC,4,VampireMeteor,SC,4,VampireMissile,SC,4,,,,,,,,,,,,,50,,,,50,,24,153,211,85,110,51,119,92,Act 3 Cast B,Act 3 Champ B,Act 3 Unique B
3,BloodLord,vampire,Vampire,25,,1,,,VampireFireball,SC,5,VampireFirewall,SC,5,VampireMeteor,SC,5,VampireMissile,SC,5,,,,,,,,,,,,,60,,,,50,,25,152,210,85,113,51,119,93,Act 3 Cast C,Act 3 Champ C,Act 3 Unique C
4,Banished,vampire,Vampire,12,,1,,,VampireFireball,SC,1,VampireFirewall,SC,1,VampireMeteor,SC,1,VampireMissile,SC,1,,,,,,,,,,,,,20,,,,50,,13,154,212,84,111,51,126,93,Act 1 Cast A,Act 1 Champ A,Act 1 Unique A
0,DesertWing,batdemon,BatDemon,15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,44,151,84,82,71,101,94,Act 2 H2H A,Act 2 Champ A,Act 2 Unique A
1,Fiend,batdemon,BatDemon,19,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,46,151,84,82,62,93,93,Act 2 H2H B,Act 2 Champ B,Act 2 Unique B
2,Gloombat,batdemon,BatDemon,22,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,44,151,85,82,65,101,94,Act 3 H2H A,Act 3 Champ A,Act 3 Unique A
3,BloodDiver,batdemon,BatDemon,24,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,45,151,85,82,63,94,92,Act 3 H2H B,Act 3 Champ B,Act 3 Unique B
4,DarkFamiliar,batdemon,BatDemon,27,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,43,151,84,89,65,101,93,Act 3 H2H C,Act 3 Champ C,Act 3 Unique C
0,RatMan,fetish,Fetish,10,,,1,,SkeletonRaise,seq_fethisraise,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,64,110,84,80,72,115,91,Act 1 H2H C,Act 1 Champ C,Act 1 Unique C
1,Fetish,fetish,Fetish,21,,,1,,SkeletonRaise,seq_fethisraise,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,64,107,85,79,65,101,94,Act 3 H2H A,Act 3 Champ A,Act 3 Unique A
2,Flayer,fetish,Fetish,22,,,1,,SkeletonRaise,seq_fethisraise,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,66,107,85,79,72,108,94,Act 3 H2H A,Act 3 Champ A,Act 3 Unique A
3,SoulKiller,fetish,Fetish,23,,,1,,SkeletonRaise,seq_fethisraise,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,65,107,85,79,67,107,92,Act 3 H2H B,Act 3 Champ B,Act 3 Unique B
4,StygianDoll,fetish,Fetish,24,,,1,,SkeletonRaise,seq_fethisraise,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,65,107,85,79,69,101,92,Act 3 H2H B,Act 3 Champ B,Act 3 Unique B
0,DeckardCain,human,NpcOutOfTown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Gheed,human,Npc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Akara,human,Npc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,dummy,,Idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Kashya,human,Npc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,dummy,,Idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Dummy,human,Idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,142,284,84,,,,,,,
0,Dummy,,HellMeteor,0,,,,,HellMeteor,A1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Charsi,human,Npc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Warriv,human,Npc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Andariel,demon,Andariel,12,,,1,,AndrialSpray,seq_andarielspray,1,AndyPoisonBolt,A1,1,,,,,,,,,,,,,,,,,,,,,-50,50,50,80,0,2562,2562,84,916,76,238,153,Andarielq,Andarielq,Andarielq
0,dummy,,Idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,dummy,,Idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,dummy,,Idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,DarkRanger,corruptrogue,CorruptArcher,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,91,128,84,91,60,90,256,Act 1 Miss A,Act 1 Champ A,Act 1 Unique A
1,VileArcher,corruptrogue,CorruptArcher,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,93,131,84,91,60,90,255,Act 1 Miss B,Act 1 Champ B,Act 1 Unique B
2,DarkArcher,corruptrogue,CorruptArcher,7,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,95,136,84,91,60,90,254,Act 1 Miss B,Act 1 Champ B,Act 1 Unique B
3,BlackArcher,corruptrogue,CorruptArcher,10,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,96,141,84,91,60,90,253,Act 1 Miss C,Act 1 Champ C,Act 1 Unique C
4,FleshArcher,corruptrogue,CorruptArcher,24,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,45,97,137,85,91,60,90,252,Act 3 Miss B,Act 3 Champ B,Act 3 Unique B
0,DarkSpearwoman,corruptrogue,CorruptLancer,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,86,129,84,91,67,134,101,Act 1 H2H A,Act 1 Champ A,Act 1 Unique A
1,VileLancer,corruptrogue,CorruptLancer,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,85,124,84,91,76,151,91,Act 1 H2H B,Act 1 Champ B,Act 1 Unique B
2,DarkLancer,corruptrogue,CorruptLancer,8,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,89,134,84,91,67,151,95,Act 1 H2H B,Act 1 Champ B,Act 1 Unique B
3,BlackLancer,corruptrogue,CorruptLancer,9,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,86,131,84,91,58,143,95,Act 1 H2H C,Act 1 Champ C,Act 1 Unique C
4,FleshLancer,corruptrogue,CorruptLancer,24,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,24,87,131,85,90,57,144,92,Act 3 H2H B,Act 3 Champ B,Act 3 Unique B
0,SkeletonArcher,skeleton,SkeletonBow,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,15,70,147,84,89,65,90,255,Act 1 Miss B,Act 1 Champ B,Act 1 Unique B
1,ReturnedArcher,skeleton,SkeletonBow,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,23,78,156,84,90,65,90,253,Act 1 Miss B,Act 1 Champ B,Act 1 Unique B
2,BoneArcher,skeleton,SkeletonBow,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,50,25,76,156,84,90,65,90,253,Act 1 Miss C,Act 1 Champ C,Act 1 Unique C
3,BurningDeadArcher,skeleton,SkeletonBow,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,50,35,76,151,84,89,45,70,252,Act 2 Miss A,Act 2 Champ A,Act 2 Unique A
4,HorrorArcher,skeleton,SkeletonBow,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,40,,50,45,74,151,84,90,45,70,252,Act 2 Miss B,Act 2 Champ B,Act 2 Unique B
0,Warriv,human,Npc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Atma,human,Npc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Drognan,human,Npc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Fara,human,Npc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,dummy,,Idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,SandMaggotYoung,sandmaggot,MaggotLarva,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,21,65,84,55,28,46,94,,,
1,RockWormYoung,sandmaggot,MaggotLarva,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,23,64,84,55,28,46,92,,,
2,DevourerYoung,sandmaggot,MaggotLarva,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,21,66,84,54,24,47,93,,,
3,GiantLampreyYoung,sandmaggot,MaggotLarva,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,21,64,85,54,29,43,94,,,
4,WorldKillerYoung,sandmaggot,MaggotLarva,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,21,65,85,55,26,44,92,,,
0,dummy,,Idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blunderbore,blunderbore,PinHead,18,,,1,,Smite,seq_pinheadsmite,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,160,200,84,114,76,134,125,Act 2 H2H B,Act 2 Champ B,Act 2 Unique B
1,Gorbelly,blunderbore,PinHead,20,,,1,,Smite,seq_pinheadsmite,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,160,200,85,114,77,139,125,Act 2 H2H C,Act 2 Champ C,Act 2 Unique C
2,Mauler,blunderbore,PinHead,25,,,1,,Smite,seq_pinheadsmite,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,160,200,85,118,76,138,126,Act 3 H2H C,Act 2 Champ C,Act 2 Unique C
3,Urdar,blunderbore,PinHead,32,,,1,,Smite,seq_pinheadsmite,1,,,,,,,,,,,,,,,,,,,,,,,,25,25,50,25,42,160,200,84,142,76,136,125,Act 4 H2H A,Act 4 Champ A,Act 4 Unique A
0,SandMaggotEgg,,MaggotEgg,16,,,,,MaggotEgg,seq_maggotegg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,98,84,50,,,,,,
1,RockWormEgg,,MaggotEgg,17,,,,,MaggotEgg,seq_maggotegg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,95,84,50,,,,,,
2,DevourerEgg,,MaggotEgg,19,,,,,MaggotEgg,seq_maggotegg,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,96,84,50,,,,,,
3,GiantLampreyEgg,,MaggotEgg,21,,,,,MaggotEgg,seq_maggotegg,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,96,85,50,,,,,,
4,WorldKillerEgg,,MaggotEgg,27,,,,,MaggotEgg,seq_maggotegg,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,95,84,54,,,,,,
0,dummy,human,Towner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Dummy,human,Towner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,dummy,human,Towner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Greiz,human,Npc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Elzix,human,Npc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Geglash,human,Npc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Jerhyn,human,Npc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lysander,human,Npc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Dummy,human,Towner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,dummy,human,Vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,dummy,human,Vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,FoulCrowNest,,FoulCrowNest,3,,,,,Nest,seq_nestlay,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,545,17,177,,,,Act 1 Cast A,Act 1 Champ A,Act 1 Unique A
1,BloodHawkNest,,FoulCrowNest,8,,,,,Nest,seq_nestlay,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489,584,19,178,,,,Act 1 Cast B,Act 1 Champ B,Act 1 Unique B
2,BlackVultureNest,,FoulCrowNest,15,,,,,Nest,seq_nestlay,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479,576,19,177,,,,Act 2 Cast A,Act 2 Champ A,Act 2 Unique A
3,CloudStalkerNest,,FoulCrowNest,22,,,,,Nest,seq_nestlay,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477,572,19,177,,,,Act 3 Cast A,Act 3 Champ A,Act 3 Unique A
0,Meshif,human,Npc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Duriel,demon,Duriel,22,,,1,,Charge,seq_durielcharge,5,Jab,seq_durieljab,15,Smite,seq_durielsmite,7,MonHolyFreeze,NU,1,,,,,,,,,,,,,,,20,20,50,20,0,4757,4757,85,1655,140,180,201,Duriel,Duriel,Duriel
0,Undead RatMan,undeadfetish,Fetish,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,11,64,110,84,80,72,115,91,Act 1 H2H C,Act 1 Champ C,Act 1 Unique C
1,Undead Fetish,undeadfetish,Fetish,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,21,64,107,85,79,65,101,94,Act 3 H2H A,Act 3 Champ A,Act 3 Unique A
2,Undead Flayer,undeadfetish,Fetish,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,22,66,107,85,79,72,108,94,Act 3 H2H A,Act 3 Champ A,Act 3 Unique A
3,Undead SoulKiller,undeadfetish,Fetish,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,23,65,107,85,79,67,107,92,Act 3 H2H B,Act 3 Champ B,Act 3 Unique B
4,Undead StygianDoll,undeadfetish,Fetish,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,24,65,107,85,79,69,101,92,Act 3 H2H B,Act 3 Champ B,Act 3 Unique B
0,unused,,Idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,unused,,Idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,unused,,Idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unused,,Idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,unused,,Idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,unused,,Idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,unused,,Idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,unused,,Idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unused,,Idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,unused,,Idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Maggot,,Idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,MummyGenerator,construct,Sarcophagus,15,,,,,Nest,seq_mummyspawn,1,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,,957,957,56,327,,,,,,
0,Radament,demon,GreaterMummy,16,,1,,,Resurrect2,seq_mummyres,1,Bestow,seq_mummyres,1,UnHolyBolt,seq_mummyres,1,,,,,,,,,,,,,,,,,,,,40,50,17,498,498,63,218,73,155,94,Radament,Radament,Radament
0,unused,,ElementalBeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,70,,,,,,,,,,,
0,unused,,ElementalBeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,70,,,,,,,,,,,
0,unused,,ElementalBeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,70,,,,,,,,,,,
0,unused,,ElementalBeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,70,,,,,,,,,,,
0,FlyingScimitar,construct,FlyingScimitar,12,,,,1,Charge,seq_pinheadsmite,1,,,,,,,,,,,,,,,,,,,,,,,,,,,70,13,97,131,84,83,38,113,93,Flying Scimitar,Flying Scimitar,Flying Scimitar
0,Zakarumite,zakarum,ZakarumZealot,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,129,172,85,100,62,108,93,Act 3 H2H A,Act 3 Champ A,Act 3 Unique A
1,Faithful,zakarum,ZakarumZealot,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,131,172,85,100,65,108,94,Act 3 H2H B,Act 3 Champ B,Act 3 Unique B
2,Zealot,zakarum,ZakarumZealot,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,131,173,85,100,57,101,92,Act 3 H2H B,Act 3 Champ B,Act 3 Unique B
0,Sexton,zakarum,ZakarumPriest,22,,,,,ZakarumHeal,S1,1,ZakarumLightning,S1,1,MonTeleport,S1,1,MonBlizzard,S1,1,,,,,,,,,,,,,,,,,,,22,131,172,85,105,72,158,94,Act 3 Cast A,Act 3 Champ A,Act 3 Unique A
1,Cantor,zakarum,ZakarumPriest,23,,,,,ZakarumHeal,S1,2,ZakarumLightning,S1,1,MonTeleport,S1,1,MonBlizzard,S1,1,,,,,,,,,,,,,,,,,,,23,130,171,85,106,67,154,92,Act 3 Cast B,Act 3 Champ B,Act 3 Unique B
2,Heirophant,zakarum,ZakarumPriest,24,,,,,ZakarumHeal,S1,3,ZakarumLightning,S1,1,MonTeleport,S1,1,MonBlizzard,S1,1,,,,,,,,,,,,,,,,,,,24,131,173,85,106,69,151,92,Act 3 Cast B,Act 3 Champ B,Act 3 Unique B
3,Heirophant,zakarum,ZakarumPriest,24,,,,,ZakarumHeal,S1,3,ZakarumLightning,S1,1,MonTeleport,S1,1,MonBlizzard,S1,1,,,,,,,,,,,,,,,,,,,24,131,173,85,106,69,151,92,Act 3 Cast B,Act 3 Champ B,Act 3 Unique B
0,Mephisto,demon,Mephisto,26,,,1,,PrimeLightning,A2,6,PrimeBolt,A2,6,PrimePoisonNova,A2,7,MephistoMissile,A2,5,MephFrostNova,A2,1,Blizzard,A2,5,,,,,,,,,33,33,25,50,20,5695,5695,124,2131,295,442,251,Mephisto,Mephisto,Mephisto
0,Diablo,demon,Diablo,40,,,1,,DiabLight,SC,3,DiabCold,S2,4,DiabFire,S1,5,DiabWall,S3,3,DiabRun,seq_diablorun,5,PrimeFirewall,S3,8,DiabPrison,S3,1,,,,,,33,33,33,50,25,6427,6427,87,3462,77,197,313,Diablo,Diablo,Diablo
0,DeckardCain,human,Npc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,DeckardCain,human,Npc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,DeckardCain,human,Npc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Swamp Dweller,frogdemon,FrogDemon,21,,,,,Submerge,seq_froghidden,1,Emerge,S1,1,,,,,,,,,,,,,,,,,,,,,,,,,21,130,171,85,110,65,151,94,Act 3 H2H A,Act 3 Champ A,Act 3 Unique A
1,Bog Creature,frogdemon,FrogDemon,22,,,,,Submerge,seq_froghidden,1,Emerge,S1,1,,,,,,,,,,,,,,,,,,,,,,,,,22,131,172,85,110,72,158,94,Act 3 H2H A,Act 3 Champ A,Act 3 Unique A
2,Slime Prince,frogdemon,FrogDemon,24,,,,,Submerge,seq_froghidden,1,Emerge,S1,1,,,,,,,,,,,,,,,,,,,,,,,,,24,131,173,85,110,69,151,92,Act 3 H2H B,Act 3 Champ B,Act 3 Unique B
0,Summoner,human,Summoner,18,,,,,Glacial Spike,SC,6,Frost Nova,SC,5,Fire Ball,SC,5,VampireFirewall,SC,7,Weaken,SC,4,,,,,,,,,,,,50,50,50,,18,129,172,153,123,,,,Summoner,Summoner,Summoner
0,tyrael,,NpcStationary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,asheara,human,Npc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,hratli,human,Npc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,alkor,human,Npc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,ormus,human,Npc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,izual,demon,Izual,29,,,,,Frost Nova,SC,8,,,,,,,,,,,,,,,,,,,,,,30,30,30,30,75,30,50,9481,9481,84,3695,132,237,251,Izual,Izual,Izual
0,halbu,human,Npc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,WaterWatcherLimb,tentacle,Tentacle,18,,,,,Submerge,seq_tentaclesubmerge,1,Emerge,S1,1,,,,,,,,,,,,,,,,,,,,,,,,,18,129,172,84,107,76,151,92,,,
1,RiverStalkerLimb,tentacle,Tentacle,20,,,,,Submerge,seq_tentaclesubmerge,1,Emerge,S1,1,,,,,,,,,,,,,,,,,,,,,,,,,20,129,172,85,107,77,154,93,,,
2,StygianWatcherLimb,tentacle,Tentacle,22,,,,,Submerge,seq_tentaclesubmerge,1,Emerge,S1,1,,,,,,,,,,,,,,,,,,,,,,,,,22,131,172,85,107,79,158,94,,,
0,WaterWatcherHead,tentacle,TentacleHead,18,,,,,Submerge,seq_tentheadsubmerge,1,Emerge,S1,1,,,,,,,,,,,,,,,,,,,,,,,,,24,129,172,84,86,,,,,,
1,RiverStalkerHead,tentacle,TentacleHead,20,,,,,Submerge,seq_tentheadsubmerge,1,Emerge,S1,1,,,,,,,,,,,,,,,,,,,,,,,,,27,129,172,85,87,,,,,,
2,StygianWatcherHead,tentacle,TentacleHead,22,,,,,Submerge,seq_tentheadsubmerge,1,Emerge,S1,1,,,,,,,,,,,,,,,,,,,,,,,,,29,131,172,85,86,,,,,,
0,meshif,human,Npc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,DeckardCain,human,Npc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,navi,human,Navi,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9981,9981,217,,0,,101,,,
0,Bloodraven,corruptrogue,BloodRaven,10,,,1,,Nest,seq_bloodravencast,1,Quick Strike,seq_brquickstrike,1,,,,,,,,,,,,,,,,,,,,50,50,50,50,50,28,323,323,64,151,60,95,253,Blood Raven,Blood Raven,Blood Raven
0,Dummy,,Idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Dummy,,Idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,RogueScout,human,GoodNpcRanged,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,93,231,84,,0,,255,,,
0,Dummy,human,Hireable,1,,,,,RogueMissile,A1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Dummy,human,TownRogue,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,189,331,84,,0,,93,,,
0,GargoyleTrap,construct,GargoyleTrap,15,,,,,GargoyleTrap,seq_gargoyletrap,1,,,,,,,,,,,,,,,,,,,,,,,,,,70,,16,132,172,84,106,,,,,,
1,ReturnedMage,skeleton,SkeletonMage,8,1,,,,SkeletonRaise,seq_skeletonraise,1,,,,,,,,,,,,,,,,,,,,,,,,,,,70,9,56,84,84,56,,,,Act 1 Cast B,Act 1 Champ B,Act 1 Unique B
